x value,timestamp,topic,value
-0.11678724735975266,1778965703.602680067,/fmu/out/vehicle_local_position.x,-0.08008676767349243
-0.11651469022035599,1778965703.609460761,/fmu/out/vehicle_local_position.x,-0.08023945987224579
-0.11625268310308456,1778965703.623987612,/fmu/out/vehicle_local_position.x,-0.0803881511092186
-0.11600088328123093,1778965703.643963581,/fmu/out/vehicle_local_position.x,-0.08053291589021683
-0.11575897783041,1778965703.650339540,/fmu/out/vehicle_local_position.x,-0.08067380636930466
-0.11552664637565613,1778965703.672012703,/fmu/out/vehicle_local_position.x,-0.08081090450286865
-0.11530358344316483,1778965703.679054031,/fmu/out/vehicle_local_position.x,-0.0809442549943924
-0.11508950591087341,1778965703.690883093,/fmu/out/vehicle_local_position.x,-0.08107392489910126
-0.11488412320613861,1778965703.711256220,/fmu/out/vehicle_local_position.x,-0.08119998127222061
-0.11468715220689774,1778965703.718988356,/fmu/out/vehicle_local_position.x,-0.08132248371839523
-0.1144983321428299,1778965703.733404453,/fmu/out/vehicle_local_position.x,-0.0814414918422699
-0.1143173947930336,1778965703.752071649,/fmu/out/vehicle_local_position.x,-0.08155706524848938
-0.11414413154125214,1778965703.765871929,/fmu/out/vehicle_local_position.x,-0.08166930079460144
-0.11397834122180939,1778965703.772319426,/fmu/out/vehicle_local_position.x,-0.08177828788757324
-0.11381981521844864,1778965703.790896444,/fmu/out/vehicle_local_position.x,-0.08188409358263016
-0.11366836726665497,1778965703.810915451,/fmu/out/vehicle_local_position.x,-0.08198682218790054
-0.113160640001297,1778965703.828121505,/fmu/out/vehicle_local_position.x,-0.0814923495054245
-0.11266735941171646,1778965703.833033886,/fmu/out/vehicle_local_position.x,-0.08101022243499756
-0.11218811571598053,1778965703.854576794,/fmu/out/vehicle_local_position.x,-0.08054008334875107
-0.11172252148389816,1778965703.861122946,/fmu/out/vehicle_local_position.x,-0.08008156716823578
-0.11127018183469772,1778965703.878571731,/fmu/out/vehicle_local_position.x,-0.07963434606790543
-0.11083072423934937,1778965703.893827163,/fmu/out/vehicle_local_position.x,-0.07919809222221375
-0.11040378361940384,1778965703.907731415,/fmu/out/vehicle_local_position.x,-0.07877248525619507
-0.10998900979757309,1778965703.921980263,/fmu/out/vehicle_local_position.x,-0.07835721969604492
-0.10958606004714966,1778965703.934846550,/fmu/out/vehicle_local_position.x,-0.07795199751853943
